esther

esther 1 1   ויהי בימי אחשורוש הוא אחשורוש המלך מהדו ועד כוש שבע ועשרים ומאה מדינה

esther 1 2   בימים ההם כשבת המלך אחשורוש על כסא מלכותו אשר בשושן הבירה

esther 1 3   בשנת שלוש למלכו עשה משתה לכל שריו ועבדיו חיל פרס ומדי הפרתמים ושרי המדינות לפניו

esther 1 4   בהראתו את עשר כבוד מלכותו ואת יקר תפארת גדולתו ימים רבים שמונים ומאת יום

esther 1 5   ובמלואת הימים האלה עשה המלך לכל העם הנמצאים בשושן הבירה למגדול ועד קטן משתה שבעת ימים בחצר גנת ביתן המלך

esther 1 6   חור כרפס ותכלת אחוז בחבלי בוץ וארגמן על גלילי כסף ועמודי שש מטות זהב וכסף על רצפת בהט ושש ודר וסחרת

esther 1 7   והשקות בכלי זהב וכלים מכלים שונים ויין מלכות רב כיד המלך

esther 1 8   והשתיה כדת אין אנס כי כן יסד המלך על כל רב ביתו לעשות כרצון איש ואיש

esther 1 9   גם ושתי המלכה עשתה משתה נשים בית המלכות אשר למלך אחשורוש

esther 1 10   ביום השביעי כטוב לב המלך ביין אמר למהומן בזתא חרבונא בגתא ואבגתא זתר וכרכס שבעת הסריסים המשרתים את פני המלך אחשורוש

esther 1 11   להביא את ושתי המלכה לפני המלך בכתר מלכות להראות העמים והשרים את יפיה כי טובת מראה היא

esther 1 12   ותמאן המלכה ושתי לבוא בדבר המלך אשר ביד הסריסים ויקצף המלך מאד וחמתו בערה בו

esther 1 13   ויאמר המלך לחכמים ידעי ה͏עתים כי כן דבר המלך לפני כל ידעי דת ודין

esther 1 14   והקרב אליו כרשנא שתר אדמתא תרשיש מרס מרסנא ממוכן שבעת שרי פרס ומדי ראי פני המלך הישבים ראשנה במלכות

esther 1 15   כדת מה לעשות במלכה ושתי על אשר לא עשתה את מאמר המלך אחשורוש ביד הסריסים

esther 1 16   ויאמר מומכן ממוכן לפני המלך והשרים לא על המלך לבדו עותה ושתי המלכה כי על כל השרים ועל כל העמים אשר בכל מדינות המלך אחשורוש

esther 1 17   כי יצא דבר המלכה על כל הנשים להבזות בעליהן בעיניהן באמרם המלך אחשורוש אמר להביא את ושתי המלכה לפניו ולא באה

esther 1 18   והיום הזה תאמרנה שרות פרס ומדי אשר שמעו את דבר המלכה לכל שרי המלך וכדי בזיון וקצף

esther 1 19   אם על המלך טוב יצא דבר מלכות מלפניו ויכתב בדתי פרס ומדי ולא יעבור אשר לא תבוא ושתי לפני המלך אחשורוש ומלכותה יתן המלך לרעותה הטובה ממנה

esther 1 20   ונשמע פתגם המלך אשר יעשה בכל מלכותו כי רבה היא וכל הנשים יתנו יקר לבעליהן למגדול ועד קטן

esther 1 21   וייטב הדבר בעיני המלך והשרים ויעש המלך כדבר ממוכן

esther 1 22   וישלח ספרים אל כל מדינות המלך אל מדינה ומדינה ככתבה ואל עם ועם כלשונו להיות כל איש שרר בביתו ומדבר כלשון עמו

esther 2 1   אחר הדברים האלה כשך חמת המלך אחשורוש זכר את ושתי ואת אשר עשתה ואת אשר נגזר עליה

esther 2 2   ויאמרו נערי המלך משרתיו יבקשו למלך נערות בתולות טובות מראה

esther 2 3   ויפקד המלך פקידים בכל מדינות מלכותו ויקבצו את כל נערה בתולה טובת מראה אל שושן הבירה אל בית הנשים אל יד הגא סריס המלך שמר הנשים ונתון תמרוקיהן

esther 2 4   והנערה אשר תיטב בעיני המלך תמלך תחת ושתי וייטב הדבר בעיני המלך ויעש כן

esther 2 5   איש יהודי היה בשושן הבירה ושמו מרדכי בן יאיר בן שמעי בן קיש איש ימיני

esther 2 6   אשר הגלה מירושלים עם הגלה אשר הגלתה עם יכניה מלך יהודה אשר הגלה נבוכדנאצר מלך בבל

esther 2 7   ויהי אמן את הדסה היא אסתר בת דדו כי אין לה אב ואם והנערה יפת תאר וטובת מראה ובמות אביה ואמה לקחה מרדכי לו לבת

esther 2 8   ויהי בהשמע דבר המלך ודתו ובהקבץ נערות רבות אל שושן הבירה אל יד הגי ותלקח אסתר אל בית המלך אל יד הגי שמר הנשים

esther 2 9   ותיטב הנערה בעיניו ותשא חסד לפניו ויבהל את תמרוקיה ואת מנותה לתת לה ואת שבע הנערות הראיות לתת לה מבית המלך וישנה ואת נערותיה לטוב בית הנשים

esther 2 10   לא הגידה אסתר את עמה ואת מולדתה כי מרדכי צוה עליה אשר לא תגיד

esther 2 11   ובכל יום ויום מרדכי מתהלך לפני חצר בית הנשים לדעת את שלום אסתר ומה יעשה בה

esther 2 12   ובהגיע תר נערה ונערה לבוא אל המלך אחשורוש מקץ היות לה כדת הנשים שנים עשר חדש כי כן ימלאו ימי מרוקיהן ששה חדשים בשמן המר וששה חדשים בבשמים ובתמרוקי הנשים

esther 2 13   ובזה הנערה באה אל המלך את כל אשר תאמר ינתן לה לבוא עמה מבית הנשים עד בית המלך

esther 2 14   בערב היא באה ובבקר היא שבה אל בית הנשים שני אל יד שעשגז סריס המלך שמר הפילגשים לא תבוא עוד אל המלך כי אם חפץ בה המלך ונקראה בשם

esther 2 15   ובהגיע תר אסתר בת אביחיל דד מרדכי אשר לקח לו לבת לבוא אל המלך לא בקשה דבר כי אם את אשר יאמר הגי סריס המלך שמר הנשים ותהי אסתר נשאת חן בעיני כל ראיה

esther 2 16   ותלקח אסתר אל המלך אחשורוש אל בית מלכותו בחדש העשירי הוא חדש טבת בשנת שבע למלכותו

esther 2 17   ויאהב המלך את אסתר מכל הנשים ותשא חן וחסד לפניו מכל הבתולת וישם כתר מלכות בראשה וימליכה תחת ושתי

esther 2 18   ויעש המלך משתה גדול לכל שריו ועבדיו את משתה אסתר והנחה למדינות עשה ויתן משאת כיד המלך

esther 2 19   ובהקבץ בתולות שנית ומרדכי ישב בשער המלך

esther 2 20   אין אסתר מגדת מולדתה ואת עמה כאשר צוה עליה מרדכי ואת מאמר מרדכי אסתר עשה כאשר היתה באמנה אתו

esther 2 21   בימים ההם ומרדכי ישב בשער המלך קצף בגתן ותרש שני סריסי המלך משמרי הסף ויבקשו לשלח יד במלך אחשורש

esther 2 22   ויודע הדבר למרדכי ויגד לאסתר המלכה ותאמר אסתר למלך בשם מרדכי

esther 2 23   ויבקש הדבר וימצא ויתלו שניהם על עץ ויכתב בספר דברי הימים לפני המלך

esther 3 1   אחר הדברים האלה גדל המלך אחשורוש את המן בן המדתא האגגי וינשאהו וישם את כסאו מעל כל השרים אשר אתו

esther 3 2   וכל עבדי המלך אשר בשער המלך כרעים ומשתחוים להמן כי כן צוה לו המלך ומרדכי לא יכרע ולא ישתחוה

esther 3 3   ויאמרו עבדי המלך אשר בשער המלך למרדכי מדוע אתה עובר את מצות המלך

esther 3 4   ויהי באמרם כאמרם אליו יום ויום ולא שמע אליהם ויגידו להמן לראות היעמדו דברי מרדכי כי הגיד להם אשר הוא יהודי

esther 3 5   וירא המן כי אין מרדכי כרע ומשתחוה לו וימלא המן חמה

esther 3 6   ויבז בעיניו לשלח יד במרדכי לבדו כי הגידו לו את עם מרדכי ויבקש המן להשמיד את כל היהודים אשר בכל מלכות אחשורוש עם מרדכי

esther 3 7   בחדש הראשון הוא חדש ניסן בשנת שתים עשרה למלך אחשורוש הפיל פור הוא הגורל לפני המן מיום ליום ומחדש לחדש שנים עשר הוא חדש אדר

esther 3 8   ויאמר המן למלך אחשורוש ישנו עם אחד מפזר ומפרד בין העמים בכל מדינות מלכותך ודתיהם שנות מכל עם ואת דתי המלך אינם עשים ולמלך אין שוה להניחם

esther 3 9   אם על המלך טוב יכתב לאבדם ועשרת אלפים ככר כסף אשקול על ידי עשי המלאכה להביא אל גנזי המלך

esther 3 10   ויסר המלך את טבעתו מעל ידו ויתנה להמן בן המדתא האגגי צרר היהודים

esther 3 11   ויאמר המלך להמן הכסף נתון לך והעם לעשות בו כטוב בעיניך

esther 3 12   ויקראו ספרי המלך בחדש הראשון בשלושה עשר יום בו ויכתב ככל אשר צוה המן אל אחשדרפני המלך ואל הפחות אשר על מדינה ומדינה ואל שרי עם ועם מדינה ומדינה ככתבה ועם ועם כלשונו בשם המלך אחשורש נכתב ונחתם בטבעת המלך

esther 3 13   ונשלוח ספרים ביד הרצים אל כל מדינות המלך להשמיד להרג ולאבד את כל היהודים מנער ועד זקן טף ונשים ביום אחד בשלושה עשר לחדש שנים עשר הוא חדש אדר ושללם לבוז

esther 3 14   פתשגן הכתב להנתן דת בכל מדינה ומדינה גלוי לכל העמים להיות עתדים ליום הזה

esther 3 15   ה͏רצים יצאו דחופים בדבר המלך והדת נתנה בשושן הבירה והמלך והמן ישבו לשתות והעיר שושן נבוכה

esther 4 1   ומרדכי ידע את כל אשר נעשה ויקרע מרדכי את בגדיו וילבש שק ואפר ויצא בתוך העיר ויזעק זעקה גדלה ומרה

esther 4 2   ויבוא עד לפני שער המלך כי אין לבוא אל שער המלך בלבוש שק

esther 4 3   ובכל מדינה ומדינה מקום אשר דבר המלך ודתו מגיע אבל גדול ליהודים וצום ובכי ומספד שק ואפר יצע לרבים

esther 4 4   ותבואינה נערות אסתר וסריסיה ויגידו לה ותתחלחל המלכה מאד ותשלח בגדים להלביש את מרדכי ולהסיר שקו מעליו ולא קבל

esther 4 5   ותקרא אסתר להתך מסריסי המלך אשר העמיד לפניה ותצוהו על מרדכי לדעת מה זה ועל מה זה

esther 4 6   ויצא התך אל מרדכי אל רחוב העיר אשר לפני שער המלך

esther 4 7   ויגד לו מרדכי את כל אשר קרהו ואת פרשת הכסף אשר אמר המן לשקול על גנזי המלך ביהודיים ביהודים לאבדם

esther 4 8   ואת פתשגן כתב הדת אשר נתן בשושן להשמידם נתן לו להראות את אסתר ולהגיד לה ולצוות עליה לבוא אל המלך להתחנן לו ולבקש מלפניו על עמה

esther 4 9   ויבוא התך ויגד לאסתר את דברי מרדכי

esther 4 10   ותאמר אסתר להתך ותצוהו אל מרדכי

esther 4 11   כל עבדי המלך ועם מדינות המלך יודעים אשר כל איש ואשה אשר יבוא אל המלך אל החצר הפנימית אשר לא יקרא אחת דתו להמית לבד מאשר יושיט לו המלך את שרביט הזהב וחיה ואני לא נקראתי לבוא אל המלך זה שלושים יום

esther 4 12   ויגידו למרדכי את דברי אסתר

esther 4 13   ויאמר מרדכי להשיב אל אסתר אל תדמי בנפשך להמלט בית המלך מכל היהודים

esther 4 14   כי אם החרש תחרישי בעת הזאת רוח והצלה יעמוד ליהודים ממקום אחר ואת ובית אביך תאבדו ומי יודע אם לעת כזאת הגעת למלכות

esther 4 15   ותאמר אסתר להשיב אל מרדכי

esther 4 16   לך כנוס את כל היהודים הנמצאים בשושן וצומו עלי ואל תאכלו ואל תשתו שלשת ימים לילה ויום גם אני ונערתי אצום כן ובכן אבוא אל המלך אשר לא כדת וכאשר אבדתי אבדתי

esther 4 17   ויעבר מרדכי ויעש ככל אשר צותה עליו אסתר

esther 5 1   ויהי ביום השלישי ותלבש אסתר מלכות ותעמד בחצר בית המלך הפנימית נכח בית המלך והמלך יושב על כסא מלכותו בבית המלכות נכח פתח הבית

esther 5 2   ויהי כראות המלך את אסתר המלכה עמדת בחצר נשאה חן בעיניו ויושט המלך לאסתר את שרביט הזהב אשר בידו ותקרב אסתר ותגע בראש השרביט

esther 5 3   ויאמר לה המלך מה לך אסתר המלכה ומה בקשתך עד חצי המלכות וינתן לך

esther 5 4   ותאמר אסתר אם על המלך טוב יבוא המלך והמן היום אל המשתה אשר עשיתי לו

esther 5 5   ויאמר המלך מהרו את המן לעשות את דבר אסתר ויבא המלך והמן אל המשתה אשר עשתה אסתר

esther 5 6   ויאמר המלך לאסתר במשתה היין מה שאלתך וינתן לך ומה בקשתך עד חצי המלכות ותעש

esther 5 7   ותען אסתר ותאמר שאלתי ובקשתי

esther 5 8   אם מצאתי חן בעיני המלך ואם על המלך טוב לתת את שאלתי ולעשות את בקשתי יבוא המלך והמן אל המשתה אשר אעשה להם ומחר אעשה כדבר המלך

esther 5 9   ויצא המן ביום ההוא שמח וטוב לב וכראות המן את מרדכי בשער המלך ולא קם ולא זע ממנו וימלא המן על מרדכי חמה

esther 5 10   ויתאפק המן ויבוא אל ביתו וישלח ויבא את אהביו ואת זרש אשתו

esther 5 11   ויספר להם המן את כבוד עשרו ורב בניו ואת כל אשר גדלו המלך ואת אשר נשאו על השרים ועבדי המלך

esther 5 12   ויאמר המן אף לא הביאה אסתר המלכה עם המלך אל המשתה אשר עשתה כי אם אותי וגם למחר אני קרוא לה עם המלך

esther 5 13   וכל זה איננו שוה לי בכל עת אשר אני ראה את מרדכי היהודי יושב בשער המלך

esther 5 14   ותאמר לו זרש אשתו וכל אהביו יעשו עץ גבה חמשים אמה ובבקר אמר למלך ויתלו את מרדכי עליו ובא עם המלך אל המשתה שמח וייטב הדבר לפני המן ויעש העץ

esther 6 1   בלילה ההוא נדדה שנת המלך ויאמר להביא את ספר הזכרנות דברי הימים ויהיו נקראים לפני המלך

esther 6 2   וימצא כתוב אשר הגיד מרדכי על בגתנא ותרש שני סריסי המלך משמרי הסף אשר בקשו לשלח יד במלך אחשורוש

esther 6 3   ויאמר המלך מה נעשה יקר וגדולה למרדכי על זה ויאמרו נערי המלך משרתיו לא נעשה עמו דבר

esther 6 4   ויאמר המלך מי בחצר והמן בא לחצר בית המלך החיצונה לאמר למלך לתלות את מרדכי על העץ אשר הכין לו

esther 6 5   ויאמרו נערי המלך אליו הנה המן עמד בחצר ויאמר המלך יבוא

esther 6 6   ויבוא המן ויאמר לו המלך מה לעשות באיש אשר המלך חפץ ביקרו ויאמר המן בלבו למי יחפץ המלך לעשות יקר יותר ממני

esther 6 7   ויאמר המן אל המלך איש אשר המלך חפץ ביקרו

esther 6 8   יביאו לבוש מלכות אשר לבש בו המלך וסוס אשר רכב עליו המלך ואשר נתן כתר מלכות בראשו

esther 6 9   ונתון הלבוש והסוס על יד איש משרי המלך הפרתמים והלבישו את האיש אשר המלך חפץ ביקרו והרכיבהו על הסוס ברחוב העיר וקראו לפניו ככה יעשה לאיש אשר המלך חפץ ביקרו

esther 6 10   ויאמר המלך להמן מהר קח את הלבוש ואת הסוס כאשר דברת ועשה כן למרדכי היהודי היושב בשער המלך אל תפל דבר מכל אשר דברת

esther 6 11   ויקח המן את הלבוש ואת הסוס וילבש את מרדכי וירכיבהו ברחוב העיר ויקרא לפניו ככה יעשה לאיש אשר המלך חפץ ביקרו

esther 6 12   וישב מרדכי אל שער המלך והמן נדחף אל ביתו אבל וחפוי ראש

esther 6 13   ויספר המן לזרש אשתו ולכל אהביו את כל אשר קרהו ויאמרו לו חכמיו וזרש אשתו אם מזרע היהודים מרדכי אשר החלות לנפל לפניו לא תוכל לו כי נפול תפול לפניו

esther 6 14   עודם מדברים עמו וסריסי המלך הגיעו ויבהלו להביא את המן אל המשתה אשר עשתה אסתר

esther 7 1   ויבא המלך והמן לשתות עם אסתר המלכה

esther 7 2   ויאמר המלך לאסתר גם ביום השני במשתה היין מה שאלתך אסתר המלכה ותנתן לך ומה בקשתך עד חצי המלכות ותעש

esther 7 3   ותען אסתר המלכה ותאמר אם מצאתי חן בעיניך המלך ואם על המלך טוב תנתן לי נפשי בשאלתי ועמי בבקשתי

esther 7 4   כי נמכרנו אני ועמי להשמיד להרוג ולאבד ואלו לעבדים ולשפחות נמכרנו החרשתי כי אין הצר שוה בנזק המלך

esther 7 5   ויאמר המלך אחשורוש ויאמר לאסתר המלכה מי הוא זה ואי זה הוא אשר מלאו לבו לעשות כן

esther 7 6   ותאמר אסתר איש צר ואויב המן הרע הזה והמן נבעת מלפני המלך והמלכה

esther 7 7   והמלך קם בחמתו ממשתה היין אל גנת הביתן והמן עמד לבקש על נפשו מאסתר המלכה כי ראה כי כלתה אליו הרעה מאת המלך

esther 7 8   והמלך שב מגנת הביתן אל בית משתה היין והמן נפל על המטה אשר אסתר עליה ויאמר המלך הגם לכבוש את המלכה עמי בבית הדבר יצא מפי המלך ופני המן חפו

esther 7 9   ויאמר חרבונה אחד מן הסריסים לפני המלך גם הנה העץ אשר עשה המן למרדכי אשר דבר טוב על המלך עמד בבית המן גבה חמשים אמה ויאמר המלך תלהו עליו

esther 7 10   ויתלו את המן על העץ אשר הכין למרדכי וחמת המלך שככה

esther 8 1   ביום ההוא נתן המלך אחשורוש לאסתר המלכה את בית המן צרר היהודיים היהודים ומרדכי בא לפני המלך כי הגידה אסתר מה הוא לה

esther 8 2   ויסר המלך את טבעתו אשר העביר מהמן ויתנה למרדכי ותשם אסתר את מרדכי על בית המן

esther 8 3   ותוסף אסתר ותדבר לפני המלך ותפל לפני רגליו ותבך ותתחנן לו להעביר את רעת המן האגגי ואת מחשבתו אשר חשב על היהודים

esther 8 4   ויושט המלך לאסתר את שרבט הזהב ותקם אסתר ותעמד לפני המלך

esther 8 5   ותאמר אם על המלך טוב ואם מצאתי חן לפניו וכשר הדבר לפני המלך וטובה אני בעיניו יכתב להשיב את הספרים מחשבת המן בן המדתא האגגי אשר כתב לאבד את היהודים אשר בכל מדינות המלך

esther 8 6   כי איככה אוכל וראיתי ברעה אשר ימצא את עמי ואיככה אוכל וראיתי באבדן מולדתי

esther 8 7   ויאמר המלך אחשורש לאסתר המלכה ולמרדכי היהודי הנה בית המן נתתי לאסתר ואתו תלו על העץ על אשר שלח ידו ביהודיים ביהודים

esther 8 8   ואתם כתבו על היהודים כטוב בעיניכם בשם המלך וחתמו בטבעת המלך כי כתב אשר נכתב בשם המלך ונחתום בטבעת המלך אין להשיב

