joshua

joshua 1 1   ויהי אחרי מות משה עבד יהוה ויאמר יהוה אל יהושע בן נון משרת משה לאמר

joshua 1 2   משה עבדי מת ועתה קום עבר את הירדן הזה אתה וכל העם הזה אל הארץ אשר אנכי נתן להם לבני ישראל

joshua 1 3   כל מקום אשר תדרך כף רגלכם בו לכם נתתיו כאשר דברתי אל משה

joshua 1 4   מהמדבר והלבנון הזה ועד הנהר הגדול נהר פרת כל ארץ החתים ועד הים הגדול מבוא השמש יהיה גבולכם

joshua 1 5   לא יתיצב איש לפניך כל ימי חייך כ͏אשר הייתי עם משה אהיה עמך לא ארפך ולא אעזבך

joshua 1 6   חזק ואמץ כי אתה תנחיל את העם הזה את הארץ אשר נשבעתי לאבותם לתת להם

joshua 1 7   רק חזק ואמץ מאד לשמר לעשות ככל התורה אשר צוך משה עבדי אל תסור ממנו ימין ושמאול למען תשכיל בכל אשר תלך

joshua 1 8   לא ימוש ספר התורה הזה מפיך והגית בו יומם ולילה למען תשמר לעשות ככל הכתוב בו כי אז תצליח את דרכך ואז תשכיל

joshua 1 9   הלוא צויתיך חזק ואמץ אל תערץ ואל תחת כי עמך יהוה אלהיך בכל אשר תלך

joshua 1 10   ויצו יהושע את שטרי העם לאמר

joshua 1 11   עברו בקרב המחנה וצוו את העם לאמר הכינו לכם צידה כי בעוד שלשת ימים אתם עברים את הירדן הזה לבוא לרשת את הארץ אשר יהוה אלהיכם נתן לכם לרשתה

joshua 1 12   ולראובני ולגדי ולחצי שבט המנשה אמר יהושע לאמר

joshua 1 13   זכור את הדבר אשר צוה אתכם משה עבד יהוה לאמר יהוה אלהיכם מניח לכם ונתן לכם את הארץ הזאת

joshua 1 14   נשיכם טפכם ומקניכם ישבו בארץ אשר נתן לכם משה בעבר הירדן ואתם תעברו חמשים לפני אחיכם כל גבורי החיל ועזרתם אותם

joshua 1 15   עד אשר יניח יהוה ל͏אחיכם ככם וירשו גם המה את הארץ אשר יהוה אלהיכם נתן להם ושבתם לארץ ירשתכם וירשתם אותה אשר נתן לכם משה עבד יהוה בעבר הירדן מזרח השמש

joshua 1 16   ויענו את יהושע לאמר כל אשר צויתנו נ͏עשה ואל כל אשר תשלחנו נלך

joshua 1 17   ככל אשר שמענו אל משה כן נשמע אליך רק יהיה יהוה אלהיך עמך כאשר היה עם משה

joshua 1 18   כל איש אשר ימרה את פיך ולא ישמע את דבריך לכל אשר תצונו יומת רק חזק ואמץ

joshua 2 1   וישלח יהושע בן נון מן השטים שנים אנשים מרגלים חרש לאמר לכו ראו את הארץ ואת יריחו וילכו ויבאו בית אשה זונה ושמה רחב וישכבו שמה

joshua 2 2   ויאמר למלך יריחו לאמר הנה אנשים באו הנה הלילה מבני ישראל לחפר את הארץ

joshua 2 3   וישלח מלך יריחו אל רחב לאמר הוציאי האנשים הבאים אליך אשר באו לביתך כי לחפר את כל הארץ באו

joshua 2 4   ותקח ה͏אשה את שני האנשים ותצפנו ותאמר כן באו אלי ה͏אנשים ולא ידעתי מאין המה

joshua 2 5   ויהי השער לסגור בחשך והאנשים יצאו לא ידעתי אנה הלכו ה͏אנשים רדפו מהר אחריהם כי תשיגום

joshua 2 6   והיא העלתם הגגה ותטמנם בפשתי העץ הערכות לה על הגג

joshua 2 7   והאנשים רדפו א͏חריהם דרך הירדן על המעברות והשער סגרו אחרי כאשר יצאו הרדפים אחריהם

joshua 2 8   והמה טרם ישכבון והיא עלתה עליהם על הגג

joshua 2 9   ותאמר אל האנשים ידעתי כי נתן יהוה לכם את הארץ וכי נפלה אימתכם עלינו וכי נמגו כל ישבי הארץ מפניכם

joshua 2 10   כי שמענו את אשר הוביש יהוה את מי ים סוף מפניכם בצאתכם ממצרים ואשר עשיתם לשני מלכי האמרי אשר בעבר הירדן לסיחן ולעוג אשר החרמתם אותם

joshua 2 11   ונשמע וימס לבבנו ולא קמה עוד רוח באיש מפניכם כי יהוה אלהיכם הוא אלהים בשמים ממעל ועל הארץ מתחת

joshua 2 12   ועתה השבעו נא לי ביהוה כי עשיתי עמכם חסד ועשיתם גם אתם עם בית אבי חסד ונתתם לי אות אמת

joshua 2 13   והחיתם את אבי ואת אמי ואת אחי ואת אחותי אחיותי ואת כל אשר להם והצלתם את נפשתינו ממות

joshua 2 14   ויאמרו לה האנשים נפשנו תחתיכם למות אם לא תגידו את דברנו זה והיה בתת יהוה לנו את הארץ ועשינו עמך חסד ואמת

joshua 2 15   ותורדם בחבל בעד ה͏חלון כי ביתה בקיר החומה ובחומה היא יושבת

joshua 2 16   ותאמר להם ההרה לכו פן יפגעו בכם הרדפים ונחבתם שמה שלשת ימים עד שוב הרדפים ואחר תלכו לדרככם

joshua 2 17   ויאמרו אליה האנשים נקים אנחנו משבעתך הזה אשר השבעתנו

joshua 2 18   הנה אנחנו באים בארץ את תקות חוט השני הזה תקשרי בחלון אשר הורדתנו בו ואת אביך ואת אמך ואת אחיך ואת כל בית אביך תאספי אליך הביתה

joshua 2 19   והיה כל אשר יצא מדלתי ביתך החוצה דמו בראשו ואנחנו נקים וכל אשר יהיה אתך בבית דמו בראשנו אם יד תהיה בו

joshua 2 20   ואם תגידי את דברנו זה והיינו נקים משבעתך אשר השבעתנו

joshua 2 21   ותאמר כדבריכם כן הוא ותשלחם וילכו ותקשר את תקות השני בחלון

joshua 2 22   וילכו ויבאו ההרה וישבו שם שלשת ימים עד שבו הרדפים ויבקשו הרדפים בכל הדרך ולא מצאו

joshua 2 23   וישבו שני האנשים וירדו מההר ויעברו ויבאו אל יהושע בן נון ויספרו לו את כל המצאות אותם

joshua 2 24   ויאמרו אל יהושע כי נתן יהוה בידנו את כל הארץ וגם נמגו כל ישבי הארץ מפנינו

joshua 3 1   וישכם יהושע בבקר ויסעו מהשטים ויבאו עד הירדן הוא וכל בני ישראל וילנו שם טרם יעברו

joshua 3 2   ויהי מקצה שלשת ימים ויעברו השטרים בקרב המחנה

joshua 3 3   ויצוו את העם לאמר כראותכם את ארון ברית יהוה אלהיכם והכהנים הלוים נשאים אתו ואתם תסעו ממקומכם והלכתם אחריו

joshua 3 4   אך רחוק יהיה ביניכם ובינו וביניו כאלפים אמה במדה אל תקרבו אליו למען אשר תדעו את הדרך אשר תלכו בה כי לא עברתם בדרך מתמול שלשום

joshua 3 5   ויאמר יהושע אל העם התקדשו כי מחר יעשה יהוה בקרבכם נפלאות

joshua 3 6   ויאמר יהושע אל הכהנים לאמר שאו את ארון הברית ועברו לפני העם וישאו את ארון הברית וילכו לפני העם

joshua 3 7   ויאמר יהוה אל יהושע היום הזה אחל גדלך בעיני כל ישראל אשר ידעון כי כאשר הייתי עם משה אהיה עמך

joshua 3 8   ואתה תצוה את הכהנים נשאי ארון הברית לאמר כבאכם עד קצה מי הירדן בירדן תעמדו

joshua 3 9   ויאמר יהושע אל בני ישראל גשו הנה ושמעו את דברי יהוה אלהיכם

joshua 3 10   ויאמר יהושע בזאת תדעון כי אל חי בקרבכם והורש יוריש מפניכם את הכנעני ואת החתי ואת החוי ואת הפרזי ואת הגרגשי והאמרי והיבוסי

joshua 3 11   הנה ארון הברית אדון כל הארץ עבר לפניכם בירדן

joshua 3 12   ועתה קחו לכם שני עשר איש משבטי ישראל איש אחד איש אחד לשבט

joshua 3 13   והיה כנוח כפות רגלי הכהנים נשאי ארון יהוה אדון כל הארץ במי הירדן מי הירדן יכרתון המים הירדים מלמעלה ויעמדו נד אחד

joshua 3 14   ויהי בנסע העם מאהליהם לעבר את הירדן והכהנים נשאי הארון הברית לפני העם

joshua 3 15   וכבוא נשאי הארון עד הירדן ורגלי הכהנים נשאי הארון נטבלו בקצה המים והירדן מלא על כל גדותיו כל ימי קציר

joshua 3 16   ויעמדו המים הירדים מלמעלה קמו נד אחד הרחק מאד באדם מאדם העיר אשר מצד צרתן והירדים על ים הערבה ים המלח תמו נכרתו והעם עברו נגד יריחו

joshua 3 17   ויעמדו הכהנים נשאי הארון ברית יהוה בח͏רבה בתוך הירדן הכן וכל ישראל עברים בחרבה עד אשר תמו כל הגוי לעבר את הירדן

joshua 4 1   ויהי כאשר תמו כל הגוי לעבור את הירדן ויאמר יהוה אל יהושע לאמר

joshua 4 2   קחו לכם מן העם שנים עשר אנשים איש אחד איש אחד משבט

joshua 4 3   וצוו אותם לאמר שאו לכם מזה מתוך הירדן ממצב רגלי הכהנים הכין שתים עשרה אבנים והעברתם אותם עמכם והנחתם אותם במלון אשר תלינו בו הלילה

joshua 4 4   ויקרא יהושע אל שנים העשר איש אשר הכין מבני ישראל איש אחד איש אחד משבט

joshua 4 5   ויאמר להם יהושע עברו לפני ארון יהוה אלהיכם אל תוך הירדן והרימו לכם איש אבן אחת על שכמו למספר שבטי בני ישראל

joshua 4 6   למען תהיה זאת אות בקרבכם כי ישאלון בניכם מחר לאמר מה האבנים האלה לכם

joshua 4 7   ואמרתם להם אשר נכרתו מימי הירדן מפני ארון ברית יהוה בעברו בירדן נכרתו מי הירדן והיו האבנים האלה לזכרון לבני ישראל עד עולם

joshua 4 8   ויעשו כן בני ישראל כאשר צוה יהושע וישאו שתי עשרה אבנים מתוך הירדן כאשר דבר יהוה אל יהושע למספר שבטי בני ישראל ויעברום עמם אל המלון וינחום שם

joshua 4 9   ושתים עשרה אבנים הקים יהושע בתוך הירדן תחת מצב רגלי הכהנים נשאי ארון הברית ויהיו שם עד היום הזה

joshua 4 10   והכהנים נשאי הארון עמדים בתוך הירדן עד תם כל הדבר אשר צוה יהוה את יהושע לדבר אל העם ככל אשר צוה משה את יהושע וימהרו העם ו͏יעברו

joshua 4 11   ויהי כ͏אשר תם כל העם ל͏עבור ויעבר ארון יהוה והכהנים לפני העם

joshua 4 12   ויעברו בני ראובן ובני גד וחצי שבט המנשה חמשים לפני בני ישראל כאשר דבר אליהם משה

joshua 4 13   כארבעים אלף חלוצי הצבא עברו לפני יהוה למלחמה אל ערבות יריחו

joshua 4 14   ביום ההוא גדל יהוה את יהושע בעיני כל ישראל ויראו אתו כאשר יראו את משה כל ימי חייו

joshua 4 15   ויאמר יהוה אל יהושע לאמר

joshua 4 16   צוה את הכהנים נשאי ארון העדות ויעלו מן הירדן

